@relation train_model

@attribute numHashtags numeric
@attribute numUpperCases numeric
@attribute numUrls numeric
@attribute sentimentScore numeric
@attribute cntFollowers numeric
@attribute cntFriends numeric
@attribute followers2friends numeric
@attribute diffInDays numeric
@attribute cntLists numeric
@attribute cntPosts numeric
@attribute cntAdjective numeric
@attribute cntAdverbs numeric
@attribute cntVerbs numeric
@attribute meanWordsPerSentence numeric
@attribute meanWordLength numeric
@attribute class {normal,spam,aggressive,bully}

@data
1.1,4.7,0.7,0.3,872,1083,0.805171,479,1,13926,3,3,17,10.7,7.757,normal
3.5,0.9,0.8,0.3,660,609,1.083744,994,105,129034,2,1,12,12.5,9.892,bully
3.2,1.3,0.9,0.3,660,609,1.083744,994,105,129034,0,0,13,11.9,10.502,bully
3.5,1.7,1,0.3,660,609,1.083744,994,105,129034,1,0,9,12.4,10.339,bully
3.2,1.4,0.9,0.3,660,609,1.083744,994,105,129034,3,0,9,10.8,10.902,aggressive
3.8,2.3,1.1,0.3,660,609,1.083744,994,105,129034,2,0,17,13.2,9.499,normal
2.9,1.6,1,0.3,660,609,1.083744,995,105,129034,4,0,10,13,10.012,normal
1.7,2.7,0.3,0.3,276,1104,0.25,576,23,35612,4,1,3,9.9,9.164,normal
2,5.9,0,0.3,4,101,0.039604,1025,0,20743,2,1,4,9.7,8.22,normal
1.3,2.5,0.2,0.3,158,93,1.698925,734,1,3377,0,3,6,8.4,8.919,normal
2.2,4.6,1,0.3,453,725,0.624828,986,66,83067,9,1,15,17.5,7.114,spam
1.1,0.7,0.5,0.3,327,151,2.165563,436,9,46996,8,3,24,14.6,6.699,normal
1,7.6,0,0.3,2,89,0.022472,497,0,7301,0,0,0,17.6,4.511,spam
1.3,1.5,0.7,0.3,29,54,0.537037,954,5,28626,0,0,7,8.6,11.862,spam
1.1,0.3,0.1,0.3,104,144,0.722222,399,3,6133,3,4,19,8.4,7.831,normal
1.1,0.9,0.1,0.3,83,29,2.862069,426,40,33809,2,0,9,6.8,9.624,normal
3,0.2,2,0.3,38,63,0.603175,213,44,4825,9,4,16,13.6,8.01,spam
2.8,2.2,1,0.3,1,0,1,377,3,2402,4,0,15,12.4,10.584,aggressive
3.9,1.8,1,0.3,1,0,1,377,3,2402,0,1,8,9.7,12.101,normal
1,2.6,0,0.3,2,6,0.333333,411,0,1143,8,0,0,6.3,6.977,spam
1.1,3.4,0.4,0.3,6,118,0.050847,602,2,632,2,1,9,9.7,8.436,normal
3,0.9,2,0.3,16,70,0.228571,212,1,234,0,0,0,11.8,4.453,spam
1.7,0.9,0,0.3,1,0,1,426,0,1888,7,2,16,13.5,7.876,spam
1,0,0,0.3,1,0,1,317,0,212,5,1,1,6.4,5.854,spam
1.142857,0.285714,1.714286,0.29,3014,2826,1.066525,435,48,18874,7,2,11,10.857,9.848,normal
2.285714,3.714286,0,0.29,799,653,1.223583,579,3,28103,1,3,11,12.571,5.665,normal
3.714286,2.285714,0.428571,0.29,22,211,0.104265,181,0,217,7,6,26,19.429,5.869,normal
4.142857,0.857143,1,0.29,22,211,0.104265,181,0,217,2,4,18,15.714,6.958,normal
2.428571,0.571429,1,0.29,24753,23921,1.034781,1152,732,299542,3,6,14,14.286,7.428,normal
1.714286,2.714286,0.285714,0.29,3,10,0.3,957,0,776,0,0,0,7.286,5.996,spam
1.285714,0.285714,0.428571,0.29,83,121,0.68595,537,0,8599,1,0,13,8.714,7.98,normal
1,1.285714,0,0.29,1,58,0.017241,474,0,1420,1,1,6,8,5.132,spam
1,0.571429,0.428571,0.29,327,151,2.165563,436,9,46996,1,1,3,8.571,10.8,normal
2.714286,1.428571,1,0.29,4996,298,16.765101,2248,57,110001,2,0,0,8.143,7.79,spam
1.857143,2.142857,0.428571,0.29,34,7,4.857143,410,6,40577,1,2,8,10.286,10.146,normal
0.857143,1.285714,0.571429,0.29,5,5,1,404,0,741,5,2,6,11,13.623,spam
1.714286,1.428571,0.428571,0.29,499,571,0.873905,620,13,10087,6,3,12,14.571,8.567,spam
3.428571,1,1,0.29,74540,67472,1.104755,969,1075,758044,6,5,10,15.286,7.986,normal
1375,8375,375,0.25,6585,338,19.482249,761,13,17739,5,1,21,15.25,12.507,normal
1,6375,0.5,0.25,1473,1914,0.769592,522,1,4991,1,7,14,15.125,5.947,spam
2,2.25,1125,0.25,713,1626,0.438499,1436,44,374900,5,1,3,11.375,8.16,normal
1625,1,125,0.25,1364,1309,1.042017,1583,12,25160,0,1,0,13.25,5.751,spam
1,2.5,375,0.25,327,151,2.165563,436,9,46996,8,8,18,15.75,6.61,normal
1,2,0.25,0.25,327,151,2.165563,436,9,46996,8,8,11,13.625,6.459,normal
1,7.75,0.5,0.25,1888,1005,1.878607,820,14,60422,4,5,19,20.625,11.875,normal
875,0.25,125,0.25,30,127,0.23622,362,0,5965,2,0,2,7.75,11.172,normal
1,2.25,375,0.25,3,22,0.136364,406,1,3922,4,7,13,12.25,7.985,normal
1,2,375,0.25,18,7,2.571429,364,8,15536,1,0,8,15.25,8.407,normal
2875,2375,0,0.25,7,57,0.122807,763,5,1759,4,1,5,7.375,8.922,normal
2,875,0,0.25,2,12,0.166667,339,0,1632,2,3,18,16.25,7.211,normal
1,2.222222,0,0.22,4,101,0.039604,1025,0,20743,2,0,1,4.889,11.494,normal
1,1.555556,0.666667,0.22,2054,2047,1.00342,452,2,7266,2,1,3,8.333,7.005,normal
2.333333,1.222222,0.555556,0.22,1,0,1,377,3,2402,2,2,7,13.111,8.266,bully
1.1,1.2,0.9,0.2,17,29,0.586207,2675,0,1993,10,9,32,16.8,6.072,normal
1.6,1.6,1,0.2,17,29,0.586207,2675,0,1993,3,0,13,14.2,7.145,normal
1.8,1.4,0.4,0.2,6,31,0.193548,354,2,398,8,1,15,17.8,5.935,normal
1.8,1.4,0.4,0.2,6,31,0.193548,354,2,398,8,1,15,17.8,5.935,normal
3.8,2.8,0.6,0.2,384,404,0.950495,1722,24,11284,2,2,12,15.8,8.183,aggressive
3.6,1,0.8,0.2,3593,2983,1.204492,2023,146,54449,1,2,8,10.6,9.278,normal
2.2,1.6,0.6,0.2,2689,1985,1.35466,2780,105,192402,5,3,13,14,7.711,normal
3.8,0.4,1,0.2,945,1203,0.785536,1584,64,15558,5,0,4,8.8,12.159,spam
